REPORT NUMBER,PRIMARY TRAFFICWAY,INTERSECTING TRAFFICWAY,DATETIME,LONGITUDE,LATITUDE,is_dry,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
3773772,10TH AVE,E JEFFERSON ST,2019-04-19 15:52:00,-122.31941505113882,47.60620717612294,0,1,0,0,0,0,0,0,0,0,3
3773784,10TH AVE E,,2017-06-27 06:40:00,-122.32023294904997,47.62656262694269,1,1,0,0,0,0,0,0,0,0,3
E779051,10TH AVE E,,2018-03-10 23:00:00,-122.3200738641953,47.638667143598944,0,0,0,1,0,0,0,0,0,0,3
3773767,10TH AVE E,,2017-07-02 15:13:00,-122.32009176246389,47.63648519736368,1,1,0,0,0,0,0,0,0,0,3
EA10570,10TH AVE E,,2020-01-31 13:45:00,-122.31987900802487,47.624504482854945,0,1,0,0,0,0,0,0,0,0,3
E696032,10TH AVE E,,2017-07-27 11:29:00,-122.31991223026074,47.62510933037967,1,1,0,0,0,0,0,0,0,0,2
3814426,10TH AVE E,E BOSTON ST,2018-10-23 21:24:00,-122.32007337930513,47.63839279433544,0,0,0,0,0,0,0,0,0,0,2
E780826,10TH AVE E,E LYNN ST,2018-03-21 06:22:00,-122.32007534267115,47.63954077925027,1,0,0,0,0,0,0,0,0,0,2
3813202,10TH AVE E,E MILLER ST,2019-02-26 15:40:00,-122.32006732684233,47.64133976866346,1,1,0,0,0,0,0,0,0,1,2
3773653,10TH AVE E,E REPUBLICAN ST,2017-05-23 17:25:00,-122.31994934306091,47.62314680911597,1,1,0,0,0,0,0,0,0,0,3
E597306,10TH AVE NW,NW 127TH ST,2016-10-13 13:33:00,-122.36906068102833,47.72146663804222,0,1,0,0,0,0,0,0,0,1,3
E967225,10TH AVE S,S KING ST,2019-10-01 15:00:00,-122.31962919954533,47.59835880643412,1,1,0,0,0,0,0,0,0,0,2
3795936,11TH AVE,,2019-05-11 09:59:00,-122.3181228298433,47.61376714755155,1,1,0,0,0,0,0,0,0,0,3
EA33969,11TH AVE,E PINE ST,2020-05-15 11:31:00,-122.31813894569217,47.615269596850446,1,1,1,0,0,0,0,0,0,0,2
EA40422,11TH AVE NE,NE RAVENNA BLVD,2020-05-23 15:32:00,-122.31600398666424,47.67167319369771,1,1,0,0,0,0,0,0,0,1,2
3694385,11TH AVE NW,,2019-11-13 14:45:00,-122.37075887702649,47.66390562373954,1,1,0,0,0,0,0,0,0,0,2
E833490,11TH AVE SW,,2018-08-29 13:49:00,-122.35052381604459,47.57170280430432,1,1,0,0,0,0,0,0,0,0,2
3745908,11TH AVE SW,W SEATTLE BRIDGE TRAIL,2018-10-03 07:37:00,-122.34798818078625,47.57157918170043,1,1,0,0,0,0,0,0,0,0,2
3774057,12TH AVE,,2017-09-13 22:47:00,-122.31677820432418,47.604088719472095,1,0,0,0,0,0,0,0,1,0,2
E854334,12TH AVE,,2018-10-03 18:19:00,-122.31679416332827,47.60863196006505,1,0,0,0,0,0,0,0,0,0,3
E614836,12TH AVE,,2016-11-29 17:17:00,-122.31687508100036,47.60889458559238,1,0,0,0,0,0,0,0,0,0,3
3773908,12TH AVE,,2017-07-31 18:39:00,-122.31683581249588,47.613776731637024,1,1,0,0,0,0,0,0,0,0,3
E660020,12TH AVE,,2017-04-04 17:45:00,-122.31685379799546,47.61428075157176,1,1,0,0,0,0,0,0,0,0,2
E613368,12TH AVE,,2016-11-08 17:34:00,-122.31678930250538,47.60576046028788,1,0,0,0,0,0,0,0,0,1,3
EA26016,12TH AVE,,2020-03-17 13:38:00,-122.31679628177858,47.61122897377516,1,1,0,1,0,0,0,0,0,0,3
3814618,12TH AVE,,2019-11-18 16:42:00,-122.31681765920216,47.613146392333086,0,0,0,0,0,0,0,0,0,0,3
3814186,12TH AVE,,2018-09-18 10:09:00,-122.3168183360141,47.61316982550338,1,1,0,0,0,0,0,0,0,0,3
3814082,12TH AVE,E ALDER ST,2018-07-10 17:35:00,-122.31677390706304,47.604355305613986,1,1,0,0,0,0,0,0,0,0,3
3552111,12TH AVE,E ALDER ST,2017-08-14 08:26:00,-122.31677390706304,47.604355305613986,1,1,0,0,0,0,0,0,1,0,3
3771485,12TH AVE,E DENNY WAY,2016-09-17 23:37:00,-122.31691652627971,47.61876807303143,0,0,0,1,0,0,0,0,0,0,3
