line_i,REPORT NUMBER,DATETIME,geometry,line_geo,SPEEDLIMIT,SURFACEWIDTH,one_way,is_steep,is_paved,is_hwy,is_bus,is_truck,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
5040.0,3773772,2019-04-19 15:52:00,POINT (-122.3194157932671 47.60620717409615),"LINESTRING (-122.3194130473 47.60520171290543, -122.3194157971671 47.6062086021111)",20.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
5053.0,3773784,2017-06-27 06:40:00,POINT (-122.320220950092 47.62656256721589),"LINESTRING (-122.320226408124 47.62546097702487, -122.320226247309 47.62549837018442, -122.3202196280803 47.6268281559198)",25.0,52.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
22.0,E779051,2018-03-10 23:00:00,POINT (-122.3200693522767 47.63866711037208),"LINESTRING (-122.3200712955947 47.63840322476922, -122.3200628717268 47.6395471124393)",25.0,42.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,3
21776.0,3773767,2017-07-02 15:13:00,POINT (-122.3200853721749 47.6364851511106),"LINESTRING (-122.3200894771424 47.6359128169739, -122.3200893786288 47.63593162267404, -122.3200798231693 47.63725179726334)",25.0,42.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
23084.0,EA10570,2020-01-31 13:45:00,POINT (-122.3198855041068 47.62450457914417),"LINESTRING (-122.3198890206881 47.62426733553269, -122.3198768205622 47.62509040820098, -122.3198913143586 47.62515443172378, -122.3199181008189 47.625205451954, -122.3199446440483 47.6252479138215, -122.320008220393 47.62535024107943)",20.0,24.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
23084.0,E696032,2017-07-27 11:29:00,POINT (-122.3198826216221 47.62511603325325),"LINESTRING (-122.3198890206881 47.62426733553269, -122.3198768205622 47.62509040820098, -122.3198913143586 47.62515443172378, -122.3199181008189 47.625205451954, -122.3199446440483 47.6252479138215, -122.320008220393 47.62535024107943)",20.0,24.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
14741.0,3814426,2018-10-23 21:24:00,POINT (-122.3200713729534 47.63839277947622),"LINESTRING (-122.3200798231693 47.63725179726334, -122.3200712955947 47.63840322476922)",25.0,42.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
18324.0,E780826,2018-03-21 06:22:00,POINT (-122.3200753612386 47.63954707560878),"LINESTRING (-122.3213518066707 47.63954331147825, -122.3200628717268 47.6395471124393)",20.0,25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
23283.0,3813202,2019-02-26 15:40:00,POINT (-122.3200588373927 47.64133974956741),"LINESTRING (-122.3200628717268 47.6395471124393, -122.320062678009 47.63963234244726, -122.3200588030658 47.64135501010185)",25.0,42.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,2
20252.0,3773653,2017-05-23 17:25:00,POINT (-122.3199494142442 47.62312564293249),"LINESTRING (-122.3209242612539 47.62312892140858, -122.3199066328881 47.62312549905591)",20.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
23.0,E597306,2016-10-13 13:33:00,POINT (-122.3690461397175 47.72146656333884),"LINESTRING (-122.3690631552162 47.71968610016795, -122.3690625863589 47.71972722011652, -122.369054410694 47.72031812384701, -122.3690506395699 47.72059064917069, -122.3690459912986 47.72149545367574)",20.0,22.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3
4568.0,E967225,2019-10-01 15:00:00,POINT (-122.3196292463423 47.59834784060523),"LINESTRING (-122.3196435898899 47.5983479018167, -122.3172279791133 47.59833759313317)",20.0,42.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
2339.0,3795936,2019-05-11 09:59:00,POINT (-122.3181357215724 47.61376694171089),"LINESTRING (-122.3181223782292 47.61293125274037, -122.3181409505819 47.61409443276705)",20.0,46.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
6988.0,EA33969,2020-05-15 11:31:00,POINT (-122.3181388356457 47.61525454236504),"LINESTRING (-122.3181594344394 47.61525439179034, -122.316854169188 47.61526393312224)",25.0,50.0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,2
21094.0,EA40422,2020-05-23 15:32:00,POINT (-122.3160044686679 47.67167368962138),"LINESTRING (-122.3162865884275 47.66943126224998, -122.3162967808833 47.671055796188, -122.3162952422066 47.67115007288368, -122.3162851728818 47.67121708772054, -122.316184011429 47.67143857318271, -122.3160516257473 47.67162785618518, -122.3159849284256 47.67169268139237)",25.0,40.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2
32.0,3694385,2019-11-13 14:45:00,POINT (-122.3707661208564 47.66390563365368),"LINESTRING (-122.3707664599629 47.66365786347299, -122.3707654619604 47.6643870599716)",20.0,40.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
4780.0,E833490,2018-08-29 13:49:00,POINT (-122.350524101763 47.57167885294254),"LINESTRING (-122.349242895151 47.5716539418047, -122.3501933748703 47.57167490766479, -122.3508060644844 47.57168221650709)",0.0,11.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
4911.0,3745908,2018-10-03 07:37:00,POINT (-122.3479983830792 47.57158281447114),"LINESTRING (-122.3396800680844 47.57170032670982, -122.3401616206442 47.5718135464003, -122.3414556619507 47.57194117326097, -122.3426739616094 47.57176212677651, -122.3434925792434 47.57163362056428, -122.3463871608675 47.57162228631932, -122.346808986485 47.57164381887298, -122.3474472121441 47.57171675375972, -122.3474703816151 47.57171786844166, -122.3474898110073 47.57171689809614, -122.347502836648 47.57171280946655, -122.3475109790325 47.57170344853083, -122.3475154097872 47.57169307022232, -122.3475398990802 47.57159488242208, -122.3475761574807 47.57159404330929, -122.3479861054444 47.571617295047, -122.3480069864265 47.57155865278386)",20.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
2359.0,3774057,2017-09-13 22:47:00,POINT (-122.3167812583547 47.60408872088445),"LINESTRING (-122.3167815240629 47.60351416000071, -122.3167812116301 47.60418975693863, -122.3167811327256 47.60436038508946)",25.0,52.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2
