SPEEDLIMIT,SURFACEWIDTH,AWDT_ROUNDED,one_way,is_steep,is_paved,is_hwy,is_bus,is_truck,is_light,is_clear,is_child,severity
20.0,30.0,6700,0,0,0,0,0,0,1,0,0,3
25.0,52.0,11300,0,0,0,0,1,0,1,0,0,3
25.0,42.0,18100,0,1,1,0,1,0,0,0,0,3
25.0,42.0,13800,0,0,0,0,1,0,1,0,0,3
25.0,42.0,13800,0,0,0,0,1,0,0,0,0,2
20.0,25.0,18100,0,1,0,0,0,0,0,0,0,2
25.0,42.0,18100,0,1,1,0,1,0,1,0,0,2
25.0,50.0,8800,0,1,1,0,1,0,1,1,0,2
25.0,40.0,4200,1,0,1,0,1,0,1,0,0,2
20.0,0.0,7700,0,0,0,0,0,1,1,0,0,2
25.0,52.0,13100,0,0,1,0,1,0,0,0,0,2
25.0,52.0,17600,0,0,1,0,1,0,0,0,0,3
25.0,52.0,17600,0,0,1,0,1,0,0,0,0,3
25.0,52.0,12200,0,0,1,0,0,0,1,0,0,3
25.0,52.0,11200,0,0,0,0,0,0,1,0,0,2
25.0,52.0,13100,0,0,1,0,1,0,0,0,0,3
25.0,52.0,17600,0,0,1,0,0,0,1,0,0,3
25.0,52.0,12200,0,0,1,0,0,0,0,0,0,3
25.0,52.0,12200,0,0,1,0,0,0,1,0,0,3
25.0,52.0,13100,0,0,1,0,1,0,1,0,0,3
25.0,52.0,13100,0,0,1,0,1,0,1,0,0,3
20.0,30.0,15100,0,1,0,0,0,0,0,0,0,3
25.0,52.0,13100,0,0,1,0,1,0,1,0,0,3
25.0,52.0,13100,0,0,1,0,1,0,1,0,0,2
25.0,42.0,6700,0,1,1,0,1,0,1,0,0,2
25.0,48.0,20500,0,0,1,0,1,0,1,0,0,1
25.0,52.0,17600,0,0,1,0,0,0,0,0,0,2
25.0,52.0,17600,0,0,1,0,0,0,1,0,0,2
25.0,52.0,15100,0,0,0,0,0,0,1,0,0,1
20.0,0.0,17600,0,0,0,0,0,0,1,0,0,2
25.0,52.0,13100,0,0,1,0,1,0,0,0,0,2
25.0,52.0,13100,0,0,1,0,1,0,1,0,0,2
25.0,52.0,17600,0,0,1,0,0,0,1,0,0,3
20.0,24.0,9300,0,1,0,0,0,0,0,0,0,2
25.0,46.0,26300,0,0,1,0,1,0,1,1,0,3
25.0,52.0,13100,0,0,1,0,1,0,1,0,0,2
25.0,52.0,13100,0,0,1,0,1,0,1,0,0,2
20.0,42.0,22300,0,0,0,0,0,0,1,1,0,1
20.0,44.0,16000,0,0,0,0,0,0,1,0,0,2
25.0,42.0,22300,0,0,0,0,1,0,0,0,0,3
20.0,0.0,7400,0,0,0,0,0,0,1,0,0,3
20.0,0.0,21000,0,1,0,0,0,0,1,0,0,3
20.0,25.0,9100,0,0,0,0,0,0,1,0,0,3
25.0,61.0,20400,0,0,1,0,1,0,0,0,0,3
25.0,40.0,39000,0,0,1,0,1,0,0,0,0,2
25.0,40.0,7800,0,0,1,0,1,0,1,0,0,2
25.0,44.0,16900,0,0,1,0,1,0,0,0,0,3
25.0,50.0,16000,0,0,1,0,1,0,1,0,0,3
25.0,50.0,11400,0,0,1,0,1,0,1,0,0,3
25.0,62.0,16000,0,0,1,0,1,0,0,0,0,2
25.0,50.0,11400,0,0,1,0,1,0,1,0,0,3
25.0,50.0,11400,0,0,1,0,1,0,1,0,0,3
30.0,55.0,35000,0,0,0,0,1,0,1,0,0,3
20.0,25.0,33100,0,0,1,0,0,0,0,0,0,2
25.0,31.0,9600,0,1,1,0,0,0,1,0,0,2
25.0,31.0,9600,0,1,1,0,0,0,1,0,0,2
25.0,60.0,20400,0,0,1,0,1,0,0,0,0,2
25.0,36.0,14500,0,0,1,0,1,0,0,0,0,2
25.0,30.0,11900,0,0,1,0,1,0,1,0,0,3
25.0,36.0,14500,0,0,1,0,1,0,1,0,0,1
25.0,58.0,21000,0,0,1,0,1,0,1,0,0,3
25.0,76.0,40000,0,0,1,0,1,1,1,0,0,3
30.0,77.0,43700,0,0,1,0,1,1,1,0,0,3
30.0,77.0,43700,0,0,1,0,1,0,1,0,0,3
30.0,79.0,51500,0,0,1,0,1,0,1,0,0,2
25.0,110.0,11900,0,1,1,0,1,0,1,0,0,3
25.0,47.0,5300,0,0,1,0,1,0,1,0,0,3
25.0,43.0,22100,0,0,1,0,1,0,1,0,0,3
25.0,50.0,11600,0,1,0,0,1,0,1,0,0,2
25.0,40.0,8400,0,1,1,0,0,0,1,0,0,3
25.0,42.0,8300,0,1,0,0,1,0,0,1,0,2
25.0,52.0,13100,0,0,0,0,1,0,1,0,0,2
25.0,52.0,17000,0,0,1,0,1,0,1,0,0,2
25.0,52.0,19400,0,1,0,0,1,0,0,0,0,2
0.0,0.0,19400,1,0,0,1,0,0,1,0,0,1
25.0,52.0,13100,0,0,0,0,1,0,1,1,0,2
25.0,42.0,4000,0,1,0,0,0,0,1,0,0,3
25.0,41.0,5600,1,1,0,0,1,0,0,0,0,3
25.0,41.0,5600,1,1,0,0,1,0,1,0,0,2
25.0,41.0,5600,1,1,0,0,1,0,1,0,0,3
25.0,104.0,17800,0,0,1,0,1,0,1,0,0,3
25.0,52.0,13500,0,0,0,0,1,0,1,0,0,3
25.0,26.0,7800,0,0,0,0,1,0,1,0,0,4
25.0,38.0,10300,0,0,0,0,1,0,1,0,0,3
30.0,68.0,29000,0,0,1,0,1,1,1,0,0,3
30.0,68.0,27500,0,0,1,0,1,1,1,0,0,2
25.0,73.0,30000,0,0,1,0,1,0,1,0,0,3
25.0,73.0,30000,0,0,1,0,1,0,1,0,0,2
30.0,60.0,17700,0,0,1,0,1,1,0,0,0,4
20.0,30.0,15000,0,0,0,0,0,0,0,0,0,1
20.0,30.0,15000,0,0,0,0,0,0,0,0,0,3
20.0,40.0,15000,0,0,1,0,0,0,1,0,0,2
20.0,30.0,15000,0,0,0,0,0,0,1,0,0,3
20.0,0.0,11400,0,0,0,0,1,0,0,0,0,2
20.0,44.0,30000,0,0,0,0,0,0,0,0,0,3
25.0,22.0,10000,1,0,1,0,1,1,1,0,0,3
25.0,22.0,10000,1,0,1,0,1,1,1,0,0,3
20.0,30.0,13000,1,0,0,0,0,0,1,0,0,3
25.0,42.0,7100,0,0,1,0,1,0,1,0,0,2
25.0,54.0,2800,0,0,1,0,0,0,1,0,0,2
25.0,50.0,11100,0,0,0,0,1,0,0,0,0,3
25.0,50.0,11100,0,0,0,0,1,0,0,0,0,3
25.0,40.0,19500,0,1,1,0,1,0,1,0,0,2
25.0,40.0,4600,0,0,1,0,1,0,1,0,0,2
25.0,46.0,6300,0,0,1,0,0,0,1,0,0,3
25.0,60.0,11300,0,0,0,0,1,0,1,0,0,3
25.0,42.0,10100,0,1,1,0,0,0,1,0,0,3
25.0,108.0,10300,0,0,0,0,1,0,0,1,0,3
25.0,22.0,18600,0,0,1,0,1,0,0,1,0,3
25.0,47.0,20400,0,1,0,0,1,0,1,0,0,3
25.0,47.0,21000,0,0,0,0,1,0,0,0,0,2
25.0,47.0,21000,0,0,0,0,1,0,0,0,0,3
25.0,47.0,21000,0,0,0,0,1,0,1,0,0,3
20.0,25.0,21000,0,0,0,0,0,0,1,0,0,3
25.0,47.0,21000,0,0,0,0,1,0,1,0,0,3
25.0,60.0,13800,0,0,0,0,1,0,1,0,0,3
25.0,60.0,13800,0,0,0,0,1,0,1,0,0,3
25.0,54.0,12000,0,0,1,0,1,0,1,0,0,2
20.0,25.0,13800,0,0,1,0,0,0,0,0,0,2
20.0,18.0,2400,0,0,0,0,0,0,1,0,1,2
25.0,38.0,12800,0,0,1,0,1,0,1,0,0,1
25.0,47.0,18200,0,0,0,0,1,0,1,0,0,2
25.0,50.0,2400,0,0,0,0,1,0,1,0,0,2
25.0,40.0,10000,0,0,1,0,1,0,1,0,0,3
25.0,58.0,17000,1,0,1,0,1,0,1,0,0,3
25.0,58.0,17000,1,0,1,0,1,0,0,0,0,3
25.0,54.0,15500,1,0,1,0,1,0,0,0,0,2
25.0,58.0,17000,1,0,1,0,1,0,1,0,0,2
25.0,54.0,15500,1,0,1,0,1,0,0,0,0,2
25.0,58.0,17000,1,0,1,0,1,0,1,0,0,3
25.0,58.0,17000,1,0,1,0,1,0,1,0,0,3
25.0,58.0,17000,1,0,1,0,1,0,1,0,0,2
